Company_Name,New_Hires_Approved_2025,Approval_Rate_%,H1B_Priority_Score,Sponsorship_Tier,Industry,City,State,Scrape_Order,ATS_Type
ACCENTURE LLP,242.0,98.8,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",CHICAGO,IL,39,Unknown
IBM CORPORATION,473.0,99.0,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",DURHAM,NC,40,Workday/Custom (Likely)
AMGEN INC,101.0,99.0,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",THOUSAND OAKS,CA,41,Workday/Custom (Likely)
PAYPAL INC,166.0,98.2,70,Tier 1 - High Volume (100+ new hires),52 - Finance and Insurance,SAN JOSE,CA,42,Workday/Custom (Likely)
HCL AMERICA INC,374.0,94.0,65,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",SANTA CLARA,CA,43,Workday/Custom (Likely)
INFOSYS LIMITED,256.0,94.1,65,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",RICHARDSON,TX,44,Unknown
COGNIZANT TECHNOLOGY SOLUTIONS US,263.0,90.4,65,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",COLLEGE STATION,TX,45,iCIMS
KPMG LLP,74.0,98.7,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",DALLAS,TX,46,Unknown
HDR ENGINEERING INC,51.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",OMAHA,NE,47,Workday/Custom (Likely)
SYNECHRON INC,71.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,48,Workday/Custom (Likely)
BRILLIO LLC,51.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",SAN RAMON,CA,49,Workday/Custom (Likely)
THE MATHWORKS INC,69.0,98.6,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,NATICK,MA,50,Workday/Custom (Likely)
